"id","submitdate","lastpage","startlanguage","seed","wiek","plec","G99Q99","G00Q00","G00Q01","G01Q00","G01Q01","G02Q00","G02Q01","G03Q00","G03Q01","G04Q00","G04Q01","G05Q00","G05Q01","G06Q00","G06Q01","G07Q00","G07Q01","G08Q00","G08Q01","G09Q00","G09Q01","G10Q00","G10Q01","G11Q00","G11Q01","G13Q00","G13Q01","G14Q00","G14Q01","G15Q00","G15Q01","G17Q00","G17Q01","G19Q00","G19Q01","G22Q00","G22Q01","G25Q00","G25Q01","G28Q00","G28Q01","G32Q00","G32Q01","G37Q00","G37Q01","G42Q00","G42Q01","G49Q00","G49Q01","G57Q00","G57Q01","G66Q00","G66Q01","G77Q00","G77Q01","G89Q00","G89Q01","G103Q00","G103Q01","G118Q00","G118Q01","G134Q00","G134Q01","G152Q00","G152Q01","G170Q00","G170Q01","G191Q00","G191Q01","G210Q00","G210Q01","interviewtime","groupTime32002","wiekTime","plecTime","groupTime32001","G99Q99Time","groupTime31920","G00Q00Time","G00Q01Time","groupTime31921","G01Q00Time","G01Q01Time","groupTime31922","G02Q00Time","G02Q01Time","groupTime31923","G03Q00Time","G03Q01Time","groupTime31924","G04Q00Time","G04Q01Time","groupTime31925","G05Q00Time","G05Q01Time","groupTime31926","G06Q00Time","G06Q01Time","groupTime31927","G07Q00Time","G07Q01Time","groupTime31928","G08Q00Time","G08Q01Time","groupTime31929","G09Q00Time","G09Q01Time","groupTime31930","G10Q00Time","G10Q01Time","groupTime31931","G11Q00Time","G11Q01Time","groupTime31934","G13Q00Time","G13Q01Time","groupTime31936","G14Q00Time","G14Q01Time","groupTime31937","G15Q00Time","G15Q01Time","groupTime31938","G17Q00Time","G17Q01Time","groupTime31939","G19Q00Time","G19Q01Time","groupTime31940","G22Q00Time","G22Q01Time","groupTime31941","G25Q00Time","G25Q01Time","groupTime31942","G28Q00Time","G28Q01Time","groupTime31943","G32Q00Time","G32Q01Time","groupTime31944","G37Q00Time","G37Q01Time","groupTime31945","G42Q00Time","G42Q01Time","groupTime31946","G49Q00Time","G49Q01Time","groupTime31949","G57Q00Time","G57Q01Time","groupTime31948","G66Q00Time","G66Q01Time","groupTime31950","G77Q00Time","G77Q01Time","groupTime31951","G89Q00Time","G89Q01Time","groupTime31952","G103Q00Time","G103Q01Time","groupTime31953","G118Q00Time","G118Q01Time","groupTime31954","G134Q00Time","G134Q01Time","groupTime31955","G152Q00Time","G152Q01Time","groupTime31956","G170Q00Time","G170Q01Time","groupTime31957","G191Q00Time","G191Q01Time","groupTime31958","G210Q00Time","G210Q01Time"
"1","","1","pl","1895956259","50","kobieta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.15","89.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","1980-01-01 00:00:00","37","pl","354469609","50","kobieta","Zapoznałam/em się z instrukcją i używam telefonu z ""Wersją na Komputer"".","0","5","2","10","3","10","4","10","5","10","6","9","8","8","7","9","12","8","9","9","10","8","12","7","9","8","15","5","15","3","13","8","20","8","20","3","45","7","25","2","25","5","30","4","30","3","35","6","30","3","60","6","75","4","75","4","70","2","95","4","70","2","140","2","170","2","160","2","140","3","818.01","12.11","","","15.23","","39.61","","","14.95","","","12.95","","","12.52","","","12.82","","","12.76","","","33.14","","","15.68","","","19.27","","","20.61","","","20.32","","","28.85","","","18.19","","","21.58","","","18.52","","","19.41","","","26.67","","","36.73","","","61.53","","","14.66","","","24.59","","","22.34","","","16.63","","","25.93","","","14.9","","","18.7","","","35.03","","","33.2","","","14.59","","","21.44","","","14.74","","","19.77","","","18.57","","","25.09","","","24.38","",""
"3","","1","pl","323455322","20","inne / nie chcę podawać","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3","10.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","","2","pl","1021990942","19","mężczyzna","Zapoznałam/em się z instrukcją i używam telefonu z ""Wersją na Komputer"".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.54","19.97","","","10.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","1980-01-01 00:00:00","37","pl","1656104660","20","kobieta","Zapoznałam/em się z instrukcją i używam komputera.","1","8","2","10","4","9","5","9","5","8","7","8","7","8","8","8","12","7","15","6","15","6","15","6","17","6","20","6","25","6","20","6","25","5","35","3","30","5","30","5","40","4","40","4","30","6","50","6","60","6","55","4","60","4","70","5","60","4","120","4","100","5","60","4","120","5","120","6","100","5","458.28","19.46","","","27.66","","17.84","","","8.38","","","8.84","","","9.98","","","8.94","","","10.64","","","8.79","","","11.43","","","9.29","","","10.84","","","9.46","","","9.14","","","8.9","","","11.88","","","31.79","","","8.88","","","10.44","","","12.36","","","9.63","","","11.42","","","9.47","","","11.74","","","9.74","","","10.44","","","12.39","","","9.66","","","10.69","","","10.55","","","16.21","","","11.57","","","9.65","","","21.04","","","8.78","","","9.99","","","20.37","",""
"6","1980-01-01 00:00:00","37","pl","1908298663","20","mężczyzna","Zapoznałam/em się z instrukcją i używam komputera.","1","5","2","1","3","1","4","10","5","10","6","9","7","1","13","1","9","4","13","1","9","1","11","3","9","3","12","4","13","3","13","3","11","6","17","2","23","4","23","5","27","1","36","8","23","8","47","1","39","2","46","1","47","1","64.3","1","94","8","58","1","57","1","76","10","97","8","137","1","78","9","461.59","18.92","","","25.79","","18.4","","","9.17","","","8.79","","","9.47","","","8.85","","","11.3","","","10.15","","","16.52","","","11.77","","","15.56","","","10.5","","","11.26","","","10.68","","","14.51","","","13.45","","","11.36","","","14.25","","","17.43","","","9.5","","","12.41","","","15.37","","","9.77","","","8.4","","","12.28","","","9.98","","","12.79","","","11.68","","","12.72","","","8.67","","","12.62","","","11.13","","","9.39","","","9.96","","","16.02","","","10.77","",""
"7","","2","pl","899951","19","mężczyzna","Nie udało mi się włączyć ""Wersji na komputer"" i wypełniam ankietę na telefonie.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.22","9.64","","","37.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","","10","pl","850458138","19","mężczyzna","Zapoznałam/em się z instrukcją i używam komputera.","1","10","","","","","4","8","5","8","","","","","7","8","","","","","9","8","","","","","14","5","","","","","","","","","","","","","","","","","","","","","","","","","","","35","4","","","","","","","","","","","60","4","","","151.92","9.34","","","9.46","","29.06","","","","","","","","","10.65","","","13.85","","","","","","","","","11.29","","","","","","","","","13.64","","","","","","","","","14.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.55","","","","","","","","","","","","","","","","","","19.47","","","","",""
"9","","2","pl","1074669749","20","kobieta","Zapoznałam/em się z instrukcją i używam telefonu z ""Wersją na Komputer"".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.55","20.86","","","35.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","1980-01-01 00:00:00","37","pl","2021191328","20","mężczyzna","Zapoznałam/em się z instrukcją i używam komputera.","1","10","2","10","3","10","4","10","5","10","6","10","7","10","8","9","10","8","15","6","15","7","14","6","13","6","17","6","20","8","20","7","14","8","20","5","17","5","18","7","30","2","25","4","34","6","30","4","23","7","40","3","50","2","50","3","70","3","85","2","100","2","160","1","80","2","150","2","50","4","558.26","12.98","","","64.74","","23.56","","","7.73","","","9.37","","","10.68","","","10.07","","","16.07","","","12.26","","","11.28","","","11.48","","","13.6","","","14.74","","","12.67","","","11.23","","","13.6","","","13.84","","","7.67","","","14.89","","","15.68","","","12.84","","","10.62","","","16.25","","","10.43","","","16.94","","","11.32","","","9.72","","","9.63","","","18.98","","","12.47","","","11.28","","","12.72","","","13.29","","","40.69","","","8.85","","","13.96","","","20.13","",""
